created_at,order_number,sku,total_order_price,discount_code
2020-11-17 08:38:38+00:00,9061,LUBMONO1,39,
2020-11-17 08:38:38+00:00,9061,PM036,39,
2020-11-17 08:38:31+00:00,9060,LUBMONO1,38,
2020-11-17 08:38:31+00:00,9060,PM036,38,
2020-11-17 08:38:20+00:00,9059,LUBMONO1,28,
2020-11-17 08:38:20+00:00,9059,PM591,28,
2020-11-17 08:37:55+00:00,9058,LUBMONO1,52,
2020-11-17 08:37:55+00:00,9058,PM508-2,52,
2020-11-17 08:37:55+00:00,9058,TP00083,52,
2020-11-17 08:37:55+00:00,9058,TP00090-2,52,
2020-11-17 08:37:14+00:00,9057,LUBMONO1,38,
2020-11-17 08:37:14+00:00,9057,PM036,38,
2020-11-17 08:37:13+00:00,9056,LUBMONO1,58,
2020-11-17 08:37:13+00:00,9056,LUB50,58,
2020-11-17 08:37:13+00:00,9056,PM525-5,58,
2020-11-17 08:37:13+00:00,9056,PM036,58,
2020-11-17 08:36:24+00:00,9055,LUBMONO1,28,
2020-11-17 08:36:24+00:00,9055,PM591,28,
2020-11-17 08:35:57+00:00,9054,LUBMONO1,47,
2020-11-17 08:35:57+00:00,9054,TP00043,47,
2020-11-17 08:35:57+00:00,9054,PM515-3,47,
2020-11-17 08:35:57+00:00,9054,PM591,47,
2020-11-17 08:34:46+00:00,9053,LUBMONO1,33,
2020-11-17 08:34:46+00:00,9053,TP00264,33,
2020-11-17 08:34:26+00:00,9052,LUBMONO1,21,
2020-11-17 08:34:26+00:00,9052,LIMP150,21,
2020-11-17 08:34:26+00:00,9052,73PM419,21,
2020-11-17 08:34:23+00:00,9051,LUBMONO1,39,
2020-11-17 08:34:23+00:00,9051,PM036,39,
2020-11-17 08:34:08+00:00,9050,LUBMONO1,22,
2020-11-17 08:34:08+00:00,9050,TP00066,22,
2020-11-17 08:33:56+00:00,9049,LUBMONO1,21,
2020-11-17 08:33:56+00:00,9049,TP00059-11,21,
2020-11-17 08:33:12+00:00,9048,LUBMONO1,28,
2020-11-17 08:33:12+00:00,9048,PM591,28,
2020-11-17 08:33:09+00:00,9047,LUBMONO1,28,
2020-11-17 08:33:09+00:00,9047,PM591,28,
2020-11-17 08:32:43+00:00,9046,LUBMONO1,41,
2020-11-17 08:32:43+00:00,9046,PM036,41,
2020-11-17 08:32:34+00:00,9045,LUBMONO1,39,
2020-11-17 08:32:34+00:00,9045,PM036,39,
2020-11-17 08:32:19+00:00,9044,LUBMONO1,14,
2020-11-17 08:32:19+00:00,9044,73PM419,14,
2020-11-17 08:32:13+00:00,9043,LUBMONO1,49,
2020-11-17 08:32:13+00:00,9043,PM518-1,49,
2020-11-17 08:31:53+00:00,9042,LUBMONO1,41,
2020-11-17 08:31:53+00:00,9042,TP00421-6,41,
2020-11-17 08:31:53+00:00,9042,PM591,41,
2020-11-17 08:31:48+00:00,9041,LUBMONO1,28,
2020-11-17 08:31:48+00:00,9041,PM591,28,
2020-11-17 08:31:36+00:00,9040,LUBMONO1,66,4FUEAB
2020-11-17 08:31:36+00:00,9040,TP00046,66,4FUEAB
2020-11-17 08:31:36+00:00,9040,PM591,66,4FUEAB
2020-11-17 08:31:36+00:00,9040,PM056,66,4FUEAB
2020-11-17 08:31:35+00:00,9039,LUBMONO1,38,
2020-11-17 08:31:35+00:00,9039,PM037,38,
2020-11-17 08:31:33+00:00,9038,LUBMONO1,33,
2020-11-17 08:31:33+00:00,9038,130420-1,33,
2020-11-17 08:31:17+00:00,9037,LUB50,46,
2020-11-17 08:31:17+00:00,9037,PM037,46,
2020-11-17 08:31:17+00:00,9037,LUBMONO1,46,
2020-11-17 08:30:39+00:00,9036,TP00003-2,48,
2020-11-17 08:30:39+00:00,9036,73PM419,48,
2020-11-17 08:30:39+00:00,9036,LUBMONO1,48,
2020-11-17 08:30:39+00:00,9036,TP00066,48,
2020-11-17 08:30:35+00:00,9035,LUBMONO1,38,
2020-11-17 08:30:35+00:00,9035,PM036,38,
2020-11-17 08:30:02+00:00,9034,LUBMONO1,39,
2020-11-17 08:30:02+00:00,9034,PM036,39,
2020-11-17 08:29:53+00:00,9033,LUBMONO1,13,
2020-11-17 08:29:53+00:00,9033,732PM192-02,13,
2020-11-17 08:29:40+00:00,9032,TP00432,49,
2020-11-17 08:29:40+00:00,9032,LUBMONO1,49,
2020-11-17 08:29:40+00:00,9032,PM037,49,
2020-11-17 08:29:09+00:00,9031,LIMP150,32,QKDSP4
2020-11-17 08:29:09+00:00,9031,LUBMONO1,32,QKDSP4
2020-11-17 08:29:09+00:00,9031,PM039,32,QKDSP4
2020-11-17 08:27:21+00:00,9030,PM592,24,AYV2UV
2020-11-17 08:27:21+00:00,9030,LUBMONO1,24,AYV2UV
2020-11-17 08:26:37+00:00,9029,LUBMONO1,44,
2020-11-17 08:26:37+00:00,9029,TP00032,44,
2020-11-17 08:26:37+00:00,9029,PM591,44,
2020-11-17 08:26:15+00:00,9028,LUBMONO1,11,
2020-11-17 08:26:15+00:00,9028,732PM192-02,11,
2020-11-17 08:24:54+00:00,9027,LUBMONO1,23,BX5MBF
2020-11-17 08:24:54+00:00,9027,PM056,23,BX5MBF
2020-11-17 08:24:04+00:00,9026,TP00046,55,
2020-11-17 08:24:04+00:00,9026,LUBMONO1,55,
2020-11-17 08:24:04+00:00,9026,PM037,55,
2020-11-17 08:23:40+00:00,9025,LUBMONO1,33,
2020-11-17 08:23:40+00:00,9025,PM025,33,
2020-11-17 08:23:39+00:00,9024,LUBMONO1,29,
2020-11-17 08:23:39+00:00,9024,PM591,29,
2020-11-17 08:23:34+00:00,9023,LUBMONO1,39,
2020-11-17 08:23:34+00:00,9023,PM036,39,
2020-11-17 08:22:45+00:00,9022,LUBMONO1,38,
2020-11-17 08:22:45+00:00,9022,PM039,38,
2020-11-17 08:21:16+00:00,9021,LUBMONO1,38,
2020-11-17 08:21:16+00:00,9021,PM056,38,
2020-11-17 08:19:57+00:00,9020,LUBMONO1,39,
2020-11-17 08:19:57+00:00,9020,PM036,39,
2020-11-17 08:18:40+00:00,9019,LUBMONO1,23,
2020-11-17 08:18:40+00:00,9019,73PM419,23,
2020-11-17 08:18:40+00:00,9019,732PM113-02,23,
2020-11-17 08:18:17+00:00,9018,LUBMONO1,34,
2020-11-17 08:18:17+00:00,9018,TP00261,34,
2020-11-17 08:17:49+00:00,9017,LUBMONO1,39,
2020-11-17 08:17:49+00:00,9017,PM039,39,
2020-11-17 08:17:47+00:00,9016,LUBMONO1,46,
2020-11-17 08:17:47+00:00,9016,TP00259,46,
2020-11-17 08:17:09+00:00,9015,TP00370,44,
2020-11-17 08:17:09+00:00,9015,PM037,44,
2020-11-17 08:17:09+00:00,9015,LUBMONO1,44,
2020-11-17 08:16:00+00:00,9014,LUBMONO1,29,
2020-11-17 08:16:00+00:00,9014,PM592,29,
2020-11-17 08:15:41+00:00,9013,LUBMONO1,39,
2020-11-17 08:15:41+00:00,9013,PM036,39,
2020-11-17 08:14:53+00:00,9012,LUBMONO1,43,
2020-11-17 08:14:53+00:00,9012,TP00102,43,
2020-11-17 08:14:53+00:00,9012,PM036,43,
2020-11-17 08:14:03+00:00,9011,LUBMONO1,39,
2020-11-17 08:14:03+00:00,9011,PM056,39,
2020-11-17 08:13:54+00:00,9010,LUBMONO1,39,
2020-11-17 08:13:54+00:00,9010,PM039,39,
2020-11-17 08:13:41+00:00,9009,LUB50,51,
2020-11-17 08:13:41+00:00,9009,TP00259,51,
2020-11-17 08:13:41+00:00,9009,LUBMONO1,51,
2020-11-17 08:13:10+00:00,9008,LUBMONO1,39,
2020-11-17 08:13:10+00:00,9008,PM039,39,
2020-11-17 08:12:56+00:00,9007,LUBMONO1,38,
2020-11-17 08:12:56+00:00,9007,PM056,38,
2020-11-17 08:12:04+00:00,9006,REGALITOS2,106,JDKROA
2020-11-17 08:12:04+00:00,9006,732PM234-01,106,JDKROA
2020-11-17 08:12:04+00:00,9006,LUBMONO1,106,JDKROA
2020-11-17 08:12:04+00:00,9006,PM543,106,JDKROA
2020-11-17 08:12:04+00:00,9006,PM026,106,JDKROA
2020-11-17 08:12:04+00:00,9006,PM056,106,JDKROA
2020-11-17 08:11:19+00:00,9005,LUBMONO1,25,ADASMA
2020-11-17 08:11:19+00:00,9005,PM591,25,ADASMA
2020-11-17 08:10:53+00:00,9004,LUBMONO1,28,
2020-11-17 08:10:53+00:00,9004,PM591,28,
2020-11-17 08:10:37+00:00,9003,LUBMONO1,54,
2020-11-17 08:10:37+00:00,9003,LUB50,54,
2020-11-17 08:10:37+00:00,9003,PM545,54,
2020-11-17 08:10:30+00:00,9002,LUBMONO1,39,
2020-11-17 08:10:30+00:00,9002,PM037,39,
2020-11-17 08:10:20+00:00,9001,LUBMONO1,62,
2020-11-17 08:10:20+00:00,9001,TP00264,62,
2020-11-17 08:09:05+00:00,9000,LUBMONO1,39,
2020-11-17 08:09:05+00:00,9000,PM036,39,
2020-11-17 08:08:03+00:00,8999,LUBMONO1,39,
2020-11-17 08:08:03+00:00,8999,PM038,39,
2020-11-17 08:06:42+00:00,8998,REGALITOS1,88,
2020-11-17 08:06:42+00:00,8998,PM027,88,
2020-11-17 08:06:42+00:00,8998,TP00264,88,
2020-11-17 08:06:42+00:00,8998,LUBMONO1,88,
2020-11-17 08:06:34+00:00,8997,REGALITOS1,72,REMAMB
2020-11-17 08:06:34+00:00,8997,TP00047,72,REMAMB
2020-11-17 08:06:34+00:00,8997,LUBMONO1,72,REMAMB
2020-11-17 08:06:34+00:00,8997,PM592,72,REMAMB
2020-11-17 08:06:34+00:00,8997,PM547-2,72,REMAMB
2020-11-17 08:06:22+00:00,8996,PM037,39,
2020-11-17 08:06:22+00:00,8996,LUBMONO1,39,
2020-11-17 08:05:58+00:00,8995,LUBMONO1,29,
2020-11-17 08:05:58+00:00,8995,PM592,29,
2020-11-17 08:05:14+00:00,8994,LUBMONO1,38,
2020-11-17 08:05:14+00:00,8994,PM056,38,
2020-11-17 08:03:59+00:00,8993,PM036,70,
2020-11-17 08:03:59+00:00,8993,LUBMONO1,70,
2020-11-17 08:03:59+00:00,8993,PM056,70,
2020-11-17 08:02:16+00:00,8992,LUBMONO1,29,
2020-11-17 08:02:16+00:00,8992,PM592,29,
2020-11-17 08:01:38+00:00,8991,LUBMONO1,39,
2020-11-17 08:01:38+00:00,8991,PM037,39,
2020-11-17 08:01:21+00:00,8990,LUBMONO1,38,
2020-11-17 08:01:21+00:00,8990,PM036,38,
2020-11-17 08:00:50+00:00,8989,LUBMONO1,39,
2020-11-17 08:00:50+00:00,8989,PM036,39,
2020-11-17 08:00:35+00:00,8988,LUBMONO1,38,
2020-11-17 08:00:35+00:00,8988,PM037,38,
2020-11-17 08:00:02+00:00,8987,LUBMONO1,49,
2020-11-17 08:00:02+00:00,8987,PM518-2,49,
2020-11-17 07:57:47+00:00,8986,LUBMONO1,31,
2020-11-17 07:57:47+00:00,8986,TP00370,31,
2020-11-17 07:57:47+00:00,8986,LIMP150,31,
2020-11-17 07:57:47+00:00,8986,PM575-1,31,
2020-11-17 07:57:47+00:00,8986,PM575-2,31,
2020-11-17 07:53:38+00:00,8985,LUBMONO1,38,
